designation,obsid,ra,dec,teff,logg,feh,snrr,coord_A_Li
J003931.09+324122.0,186316218,9.879575,32.689468,4915.32,2.506,-0.219,103.1,3.450649738
J004034.60+264849.1,55605067,10.144187,26.813656,4973.11,2.684,0.062,132.01,3.211139202
J004034.61+264849.1,157605053,10.144231,26.813656,5006.53,2.769,0.067,386.61,3.176996469
J004050.80+573120.3,171112198,10.211688,57.522313,4698.67,2.551,-0.026,77.14,2.564198971
J004118.61+372546.3,491714038,10.327571,37.429539,4734.93,2.446,0,136.56,3.007061005
J004124.87+460915.5,164415160,10.353642,46.154327,5072.72,2.861,-0.071,299.67,2.611050367
J004220.15+271649.6,157604134,10.583977,27.280453,4889.83,2.472,-0.318,630.21,2.5847435
J004220.17+271646.4,59304134,10.58408,27.27957,4943.42,2.505,-0.444,40.75,2.573502064
J004249.20+270952.0,157604080,10.70503,27.164448,5471.12,3.12,-0.487,32.26,2.349653482
J004312.70+565927.3,171112168,10.802928,56.990931,4870.88,2.256,-0.402,90.37,3.42183733
J004351.97+561911.0,171113148,10.966563,56.319732,4403.1,2.14,-0.286,177.65,3.510994196
J004358.31+485801.9,255411190,10.992965,48.967196,5417.66,3.413,-0.572,32.93,2.02219677
J004404.99+494409.2,619012244,11.020814,49.735904,4624.7,2.067,-0.513,308.24,2.448431253
J004408.14+443155.9,186603219,11.033941,44.532206,5020.67,2.515,-0.689,71.94,4.089491844
J004408.14+443156.0,61904198,11.033923,44.532226,4991.42,2.514,-0.696,46.06,3.522494793
J004432.57+493520.5,619012041,11.137524,49.588827,4825.07,2.336,-0.179,137.75,2.225538731
J004506.18+421701.4,165215155,11.275768,42.283749,4747.29,2.423,-0.254,147.64,2.719572544
J004506.18+421701.5,176612137,11.275778,42.283768,4716.26,2.329,-0.281,104.07,2.672055244
J004525.02+492519.3,255411224,11.354262,49.42204,5480.15,3.395,-0.322,43.59,2.046215057
J004612.07+451318.9,164404036,11.550328,45.221928,5149.43,3.442,-0.116,44.58,2.862450361
J004616.54+431722.8,186705074,11.568948,43.289669,4753.81,2.413,-0.363,163.03,4.324839115
J004621.68+464950.6,164411189,11.590353,46.830746,4848.52,2.459,-0.692,167.97,2.247000217
J004708.13+571443.8,469303167,11.783911,57.245519,4485.19,2.167,-0.257,568.44,3.523167133
J004803.43+424821.0,1611037,12.014295,42.805836,5300.08,2.81,-0.832,36.46,2.139544487
J004807.96+360157.4,69101026,12.033169,36.032624,4871.52,3.261,-0.119,33.28,2.30844903
J004811.97+461705.2,186711144,12.049912,46.284802,4944.03,2.512,-0.16,159.8,3.284893036
J004815.62+204707.6,285313245,12.065098,20.785458,4809.22,3.427,-0.197,57.63,2.69942379
J004826.41+020757.2,713302123,12.110177,2.131413,4758.96,2.515,-0.112,292.08,4.021840572
J004826.61+020753.0,250208125,12.110175,2.131413,4737.7,2.476,-0.124,390.03,4.227051258
J004955.60+400205.4,176606236,12.481683,40.034851,4896.81,2.455,-0.387,165.99,4.282109737
J005012.26+375937.3,14904160,12.551085,37.993708,4578.78,2.296,-0.319,84.33,2.090975523
J005039.75+464742.5,255408079,12.665656,46.795154,4779.05,2.593,-0.154,82.32,2.367911339
J005054.58+531255.1,259414108,12.727443,53.215311,4610.45,2.57,0.142,58.84,3.468296051
J005222.82+341619.3,14608173,13.09511,34.27205,4799.16,2.521,-0.234,106.97,2.802105188
J005222.83+341619.3,266303117,13.095138,34.272048,4819.64,2.527,-0.203,111.32,3.87030673
J005241.77+351522.9,159810146,13.174078,35.256375,5235.69,3.476,-1.037,40.08,3.34251976
J005250.15+291610.6,379416128,13.208974,29.269637,5591.03,3.422,-2.1,99.52,2.019058704
J005259.85+385705.9,62914045,13.249389,38.951658,4865.19,2.713,-0.379,45.48,2.337345839
J005315.15+315954.9,258611084,13.313149,31.998607,4722.05,2.336,-0.189,343.33,3.388237238
J005315.16+315954.9,186212170,13.313177,31.998585,4712.07,2.33,-0.219,323.56,3.211583376
J005331.09+031413.6,8209216,13.379583,3.237136,4804.02,1.514,-2.183,30.4,3.056277752
J005334.72+552111.0,469301085,13.3946886,55.3530636,4859.18,2.516,-0.218,75.13,3.16195178
J005349.84+311033.7,186213225,13.457672,31.176039,4654.23,2.306,-0.241,63.41,4.390689373
J005349.95+311033.7,7714023,13.458159,31.176039,4693.06,2.337,-0.289,33.03,2.632272959
J005417.66+205441.6,164908170,13.573593,20.911568,4016.51,1.058,-0.568,67.87,3.326010704
J005427.91+435906.6,679814239,13.616315,43.98519,5555.77,3.494,-0.871,33.62,2.064030409
J005508.70+610158.7,617414039,13.786269,61.032998,4726.02,2.537,-0.011,64.77,2.750369549
J005552.13+451801.9,164413138,13.96723,45.300537,4609.63,2.39,-0.316,237.93,3.070873737
J005554.88+392751.1,184214088,13.97868,39.464199,5056.78,3.133,-0.526,40.57,2.226730824
J005639.20+274048.8,379404209,14.163363,27.680229,5492.84,3.27,-1.2,59.48,2.534566164
J005647.84+264241.7,379404095,14.199342,26.711598,5082.78,2.435,-0.801,35.49,2.933166027
J005706.38+524856.6,259403068,14.276586,52.815724,4699.04,2.459,-0.146,52.31,3.486383438
J005815.80+520008.0,248414247,14.56587,52.002236,4861.47,2.337,-0.281,102.65,2.176865339
J005853.67+264423.7,379508242,14.723649,26.739923,4901.98,2.418,-0.358,398.66,4.199073315
J005907.70+271223.9,379504228,14.782087,27.206642,4943.37,2.322,-0.546,78.42,4.806803226
J010005.94+504631.9,259402072,15.024758,50.775546,5456.44,3.299,-0.239,37.1,2.446432352
J010027.76+461911.3,257210169,15.115679,46.319812,4870.13,2.333,-0.373,104.38,2.424664497
J010031.19+345818.9,96316070,15.129962,34.971931,5064.78,2.454,-0.425,85.65,4.226984501
J010048.00+521241.4,248414206,15.200003,52.211511,4919.39,2.223,-0.454,162.97,2.257582188
J010050.58+002713.8,397301046,15.2107764,0.4538424,5406.73,3.244,-2.28,34.96,2.316589832
J010102.94+290143.2,74214069,15.262273,29.028675,4751.6,2.464,-0.069,361.79,2.704024553
J010103.19+290143.2,379512038,15.262273,29.028675,4743.45,2.489,-0.039,428.05,2.672909737
J010122.37+453754.6,586808214,15.343244,45.631855,4771.73,2.583,-0.064,106.32,2.262795448
J010253.42+524904.7,248416080,15.722601,52.817975,4673.63,2.634,0.056,113.45,2.285467386
J010305.36+130815.6,286603202,15.772351,13.137669,5242.38,2.922,-1.418,31.91,2.038491488
J010329.06+161132.1,73301176,15.871123,16.192261,4824.73,2.365,-0.351,31.21,2.560631037
J010336.71+395614.3,82115042,15.902959,39.937317,4440.12,2.032,-0.349,131.63,3.416858435
J010338.43+504449.4,248310172,15.91016,50.747074,4898.79,2.592,-0.203,146.87,3.101444483
J010338.84+365159.2,378301169,15.911859,36.866471,5082.5,2.777,-0.896,86.2,2.05922842
J010458.48+621839.7,617416163,16.243704,62.311054,4615.95,2.258,-0.384,45.37,2.626551151
J010557.28+583326.3,469312103,16.4886814,58.5573264,4954.59,2.497,-0.057,70.66,2.2690804
J010600.88+112442.4,286601163,16.503682,11.4118,4493.42,1.466,-1.038,38.1,3.748233318
J010612.25+485842.4,257216121,16.551051,48.978461,4968.86,3.017,-0.28,76.09,2.212421894
J010725.58+493220.3,278811162,16.856611,49.538999,5008.96,2.451,-0.549,58.92,3.754261017
J010726.73+455551.4,278805089,16.861386,45.930945,4962.24,2.487,-0.42,124.57,2.960255384
J010800.07+053159.2,157802044,17.000303,5.533119,5461.29,2.81,-0.999,44.02,2.19866848
J010813.68+380033.9,392904192,17.05774222,38.00885417,4590.78,2.485,-0.211,588.85,3.620587587
J010829.95+590015.8,616711129,17.124827,59.004413,4834.42,1.919,-0.528,46.63,2.555552959
J010836.11+372127.2,392905157,17.150491,37.357573,4840.32,2.538,-0.221,77.57,4.156710148
J010915.09+424850.4,182708155,17.312888,42.814025,4880.45,2.602,-0.558,127.81,3.105520487
J010915.10+424850.5,372914020,17.312917,42.814039,4856.18,2.693,-0.59,78.66,2.797262192
J010936.05+073139.3,157703115,17.400223,7.527602,5213.99,3.252,-0.426,33.14,2.017680645
J010946.69+502432.9,248405096,17.444547,50.409146,4842.78,2.454,-0.388,251.84,2.145942688
J010947.66+284043.9,7706214,17.448618,28.678875,5418.86,2.835,-0.749,32.04,2.538608551
J011045.07+325027.4,96308075,17.687792,32.840965,5062.26,2.71,-0.196,399.86,3.004897118
J011101.28+540202.6,251010156,17.756547,54.034478,4708.39,2.492,-0.03,426.47,3.261590958
J011101.42+375510.7,392904125,17.755954,37.919643,4997.54,2.479,-0.466,190.73,3.546196699
J011145.50+451300.5,169715022,17.939623,45.216832,5084.15,3.151,-0.32,34.23,2.437761068
J011147.36+271919.5,255914074,17.947371,27.32211,4955.58,3.217,-0.524,42.71,2.224395275
J011207.16+450804.7,603601123,18.029845,45.13465,5582.45,3.468,-0.629,31.14,2.707071781
J011220.98+550526.1,251003066,18.087443,55.090602,4879.47,2.744,-0.113,52.6,2.12285614
J011236.11+511353.5,248404083,18.151265,51.231811,3868.73,1.406,0.014,320.55,2.581203699
J011338.35+301458.7,249502240,18.409822,30.249663,5152.56,2.24,-2.451,60.25,2.129079819
J011340.54+371355.8,82107138,18.41895,37.232174,4819.06,2.543,-0.18,112.54,2.330715179
J011340.55+371355.7,392908103,18.418965,37.232154,4777.62,2.41,-0.226,167.84,2.269257307
